,lsb_mse,lsb_psnr,ebe_mse,ebe_psnr,iwt_mse,iwt_psnr
01.jpg,0.3498077392578125,52.692509471495505,0.740484873453776,49.435641696415466,0.6762161254882812,49.76155519330527
02.jpg,0.35074488321940106,52.646760891226236,,,0.6839942932128906,49.7118856407668
03.jpg,0.34972508748372394,50.79780934626547,0.8100446065266927,47.149987873871765,0.6783027648925781,47.9208413477501
04.jpg,0.3508160909016927,52.680008559072384,,,0.702264149983724,49.63166934639398
05.jpg,0.35021082560221356,52.6875079414436,,,0.6865666707356771,49.69558325503256
07.jpg,0.35033543904622394,48.69167680393349,,,0.6767807006835938,45.777919995984426
08.jpg,0.3498128255208333,52.692446324810724,,,1.0107434590657551,48.05026493722258
09.jpg,0.3498586018880208,52.5198746107226,,,0.6949030558268229,49.539557958562945
10.jpg,0.3503316243489583,52.68601018125346,0.8674875895182291,48.748170904797014,0.7107009887695312,49.54554122692446
11.jpg,0.34932708740234375,52.561151801035344,,,0.7185872395833334,49.42867942071945
13.jpg,0.35062917073567706,52.682323163019916,0.3504142761230469,52.68498569550054,0.6836954752604166,49.71378336630237
14.jpg,0.34908803304036456,52.7014539968941,,,0.677801767985026,49.75138345030655
15.jpg,0.3491414388020833,52.666660359437465,0.787194569905599,49.169982712121154,0.6812566121419271,49.69490351081595
16.jpg,0.3502794901529948,52.51465308442449,,,0.7163874308268229,49.37250736738711
17.jpg,0.3506266276041667,52.68235466273755,0.44384129842122394,51.65852650980064,0.6856969197591146,49.70108843789898
18.jpg,0.3491465250651042,51.69043990370832,0.4660847981770833,50.43586776172546,0.6982154846191406,48.64227402178034
19.jpg,0.34979883829752606,52.69261998040324,0.5833956400553385,50.471171817232374,0.6891263326009115,49.67942197044738
20.jpg,0.34956995646158856,52.69546260428492,0.8738861083984375,48.716255251638515,0.7224820454915365,49.50840374393767
21.jpg,0.35039647420247394,52.266528196837825,,,0.67706298828125,49.441505789842346
22.jpg,0.3496297200520833,51.98527382085628,,,0.7964528401692709,48.37271649511274
23.jpg,0.3501548767089844,52.68820181596,,,0.6776339213053385,49.71805943586667
24.jpg,0.3499768575032552,52.690410336345785,,,0.6781145731608073,49.74937964579383
25.jpg,0.35186131795247394,52.66708835786571,0.5684382120768229,50.583970960876684,0.835730234781901,48.87601319021228
26.jpg,0.34949493408203125,51.83783074741687,,,0.6820322672526041,48.89650750225841
27.jpg,0.35010528564453125,52.688816933792985,0.5541127522786459,50.69482215796404,0.6941541035970052,49.64785146950988
28.jpg,0.3497670491536458,52.69301467803011,,,0.6801935831705729,49.736085117951504
29.jpg,0.3503100077311198,48.85235151582961,,,0.6898384094238281,45.85627837076886
30.jpg,0.3496805826822917,51.873044526228604,0.7055587768554688,48.9360252587094,0.6779263814290365,49.035293072927324
31.jpg,0.3499132792154948,52.272521229172575,,,0.7413304646809896,49.04767805029764
32.jpg,0.34974924723307294,52.693235724370666,,,0.7274881998697916,49.444150890551995
33.jpg,0.3500862121582031,52.48223687401087,,,0.6763153076171875,49.58754144360995
35.jpg,0.3492940266927083,52.69889202074172,0.5435155232747396,50.77868408441391,0.6821339925130209,49.7237135025636
36.jpg,0.34976832071940106,52.69299888943629,0.3686714172363281,52.464408924175444,0.6950149536132812,49.64246893586172
37.jpg,0.3496449788411458,52.660401374067646,,,0.7030105590820312,49.52385594874512
38.jpg,0.3490104675292969,50.67864286369482,,,0.6920166015625,47.66275601481763
39.jpg,0.35054779052734375,51.9368448068462,,,0.6791521708170573,49.0646462162685
